Identifiant_Station,Bornettes_Libres,Total_Velos_Dispo,Velos_Mecaniques,Velos_Electriques
43010,5,19,4,15
15057,38,1,0,1
23010,18,7,6,1
6027,26,6,3,3
18007,7,10,1,9
21401,25,6,0,6
9027,21,3,1,2
17108,23,10,7,3
4020,18,2,0,2
23004,24,12,7,5
5012,14,2,0,2
11017,43,4,3,1
21306,55,5,1,4
1021,17,1,1,0
41205,17,2,0,2
12018,25,7,6,1
44005,14,8,1,7
17119,23,9,4,5
51002,2,22,15,7
10162,19,5,2,3
13009,24,2,0,2
27005,1,18,12,6
15071,18,4,3,1
9024,48,3,0,3
8201,28,1,1,0
17111,13,10,3,7
9006,10,5,3,2
8116,25,0,0,0
31005,22,23,9,14
21314,0,29,28,1
12005,6,31,25,6
13516,19,20,14,6
9034,17,3,3,0
12035,2,31,24,7
10021,11,4,4,0
44011,15,11,0,11
12101,9,15,14,1
21707,16,6,4,2
51001,19,21,10,11
8027,10,4,2,2
15039,5,6,4,2
23102,15,17,16,1
15006,25,11,7,4
21402,22,5,0,5
41403,0,19,10,9
21303,1,28,21,7
17024,19,4,1,3
20105,24,4,1,3
33103,7,16,2,14
14032,22,9,6,3
14011,22,14,10,4
6002,15,8,4,4
20044,25,3,2,1
33012,7,23,11,12
2013,13,2,0,2
20022,24,9,1,8
14026,24,21,10,11
48004,2,18,7,11
16042,29,7,4,3
1006,25,7,2,5
19110,21,9,2,7
22201,10,17,2,15
4006,4,42,40,2
18202,35,2,1,1
45002,2,24,11,13
12037,22,14,11,3
1007,14,2,0,2
47003,0,19,9,10
16013,14,19,13,6
7012,10,14,13,1
18034,10,21,11,10
14135,16,23,10,13
20024,19,10,0,10
3010,8,8,5,3
12156,16,7,2,5
18140,30,10,5,5
9009,11,8,3,5
10034,13,8,3,5
6104,33,4,4,0
21309,18,22,19,3
20034,22,1,0,1
13005,6,38,26,12
16037,0,0,0,0
19201,7,15,7,8
19010,7,15,7,8
15132,7,13,4,9
41405,0,24,17,7
8028,27,1,0,1
21953,19,1,0,1
31709,9,10,4,6
10006,19,4,1,3
12002,5,9,8,1
21506,20,2,0,2
14103,19,7,3,4
3001,7,41,39,2
2015,30,1,0,1
21026,29,1,0,1
32013,13,10,3,7
20029,17,6,1,5
22503,10,9,3,6
15111,1,24,15,9
12020,40,4,3,1
2021,54,2,0,2
4014,23,4,2,2
2005,12,4,4,0
3012,17,7,5,2
23702,18,2,1,1
14022,25,8,2,6
19012,10,17,13,4
21507,18,1,0,1
14023,43,9,0,9
22502,12,5,2,3
3006,15,12,7,5
21110,0,32,19,13
3005,27,6,3,3
8036,46,1,0,1
6031,26,6,3,3
